Dışa Aktarım Tarihi:,25.05.2026 10:36:47
Toplam Kayıt Sayısı:,4012

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,22.05.2026,"3,257185",918437542.00,4860,"2991520577,15"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,22.05.2026,"11,798413",1724870.00,180,"20350728,19"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.05.2026,"58,205701",4654400.00,2237,"270912612,90"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,22.05.2026,"70,077413",123722963.00,166,"8670185204,65"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"0,742183",1337341991.00,3,"992552016,25"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,22.05.2026,"0,096039",580059894.00,36,"55708651,28"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,22.05.2026,"2,934613",94654397.00,173,"277773993,04"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,22.05.2026,"2,708722",2478716109.00,45,"6714153329,44"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,22.05.2026,"64,346328",2090562.00,14,"134519987,61"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,22.05.2026,"3,610597",432043966.00,3635,"1559936807,05"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"3,520772",9797296.00,166,"34494050,25"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,22.05.2026,"54,990124",1326074.00,104,"72920974,21"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"10,015951",540384978.00,45,"5412469454,17"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.05.2026,"170,381057",14776443.00,97,"2517625981,71"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),22.05.2026,"42,53126",4201062.00,1425,"178676458,38"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,22.05.2026,"5,218842",57341597.97,1523,"299256754,98"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,22.05.2026,"11,882419",54279290.00,16,"644969240,54"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,22.05.2026,"53,540203",25405881.00,153,"1360236034,18"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,22.05.2026,"0,868108",1081754099.00,26585,"939079896,71"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.05.2026,"1,167177",3108468468.00,22060,"3628131670,27"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,22.05.2026,"104,177557",668466.81,1513,"69639239,15"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,22.05.2026,"0,185332",8979479388.00,35837,"1664185448,03"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.05.2026,"1,876599",5328652.00,418,"9999742,45"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,22.05.2026,"1,16949",4484224635.00,46227,"5244255809,13"
AFO,AK PORTFÖY ALTIN FONU,22.05.2026,"1,309818",16637666793.00,85539,"21792316786,14"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,22.05.2026,"0,302863",2467834781.00,26870,"747416281,22"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,22.05.2026,"0,981731",22609642194.00,146311,"22196578895,10"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,22.05.2026,"0,547464",2159368988.00,15248,"1182176645,53"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,22.05.2026,"8,796724",11101858.00,2461,"97659983,46"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,22.05.2026,"9,84571",21370610.00,15,"210408836,42"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),22.05.2026,"35,257812",3858170.00,2620,"136030630,65"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,22.05.2026,"66,495939",432542.00,103,"28762286,53"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,22.05.2026,"10,392351",24912094.00,585,"258895228,36"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,22.05.2026,"19,947092",5985691.00,176,"119397129,65"
